time,true,pre
230.0,334.99999779462814,560.7122547030449
231.0,343.9999889135361,560.212989628315
231.0,389.99999210238457,560.6598385572433
231.0,401.99999740719795,560.2172076106071
232.0,419.0000092089176,559.9243150353432
232.0,416.9999911785126,559.1919807195663
232.0,390.999988257885,558.820335328579
233.0,374.00000217556953,558.360832452774
233.0,367.00000336766243,557.914960861206
233.0,409.99999237060547,557.2181707620621
233.0,412.0000104010105,558.124831199646
234.0,383.9999894499779,557.5442413687706
234.0,376.99999064207077,556.0495324730873
234.0,374.99999833106995,555.4054671525955
235.0,366.000007212162,555.0259001851082
235.0,359.0000084042549,558.065830886364
235.0,358.0000122487545,558.130077958107
236.0,367.99999952316284,558.2676253318787
236.0,361.00000071525574,558.799348294735
236.0,458.000013589859,559.0105046033859
236.0,479.0000100135803,558.1253455877304
237.0,451.9999852180481,558.0603783726692
237.0,410.9999885261059,561.5507072806358
237.0,374.00000217556953,562.4370493888855
238.0,358.0000122487545,562.2201319336891
238.0,349.99999156594276,559.7973126173019
238.0,343.9999889135361,555.6632784605026
239.0,339.000008136034,550.9585307240486
239.0,358.0000122487545,545.1748539805412
239.0,387.99999979138374,523.9618494510651
239.0,437.9999876022339,511.59066170454025
240.0,461.99999821186066,507.2631147503853
240.0,415.99999502301216,503.709979057312
240.0,427.00000417232513,494.54101145267487
241.0,453.0000070929527,494.69707679748535
241.0,430.9999887943268,498.0402392745018
241.0,458.9999840259552,500.7081130743027
242.0,557.9999892115593,502.82199090719223
242.0,566.9999803304672,503.70354920625687
242.0,477.0000177025795,507.2122932076454
242.0,519.0000105500221,516.7117037177086
243.0,486.9999792575836,523.7691596746445
243.0,448.00000059604645,527.3633949756622
243.0,524.0000170469284,530.7190056443214
244.0,538.0000146627426,527.3342806100845
244.0,587.9999767541885,514.1824575066566
244.0,677.0000203847885,486.17448925971985
245.0,715.9999990463257,463.55134123563766
245.0,740.0000096559525,458.77761405706406
245.0,721.9999759793282,454.29353880882263
245.0,797.0000219941139,459.0898476243019
246.0,693.0000103116035,471.5380907058716
246.0,608.0000027418137,474.72220438718796
246.0,651.0000174641609,471.38109946250916
247.0,667.9999778270721,471.6533136367798
247.0,715.9999990463257,479.4068909883499
247.0,733.9999812841415,488.830737888813
248.0,736.0000250339508,488.06599712371826
248.0,672.0000138878822,475.76142263412476
248.0,651.0000174641609,472.9493658542633
248.0,707.0000079274178,475.4360721707344
249.0,632.0000133514404,458.0792293548584
249.0,599.9999820590019,430.0394204854965
249.0,658.9999867081642,421.99361926317215
250.0,648.0000032782555,426.4773858785629
250.0,615.0000015497208,442.5070559978485
250.0,660.0000085830688,454.73894745111465
251.0,677.9999908208847,457.59230959415436
251.0,606.999980866909,454.70993596315384
251.0,757.9999918937683,460.0749522447586
251.0,764.9999907016754,462.704761326313
252.0,597.9999897480011,469.4835732579231
252.0,573.0000087022781,482.74516677856445
252.0,675.9999985098839,493.58620429039
253.0,712.9999848604202,499.6055736541748
253.0,759.0000137686729,503.19368773698807
253.0,698.0000168085098,503.75416499376297
254.0,641.9999749064445,506.52038979530334
254.0,818.9999888539314,506.7422453761101
254.0,883.0,498.27186822891235
254.0,823.0000249147415,491.88908368349075
255.0,681.0000050067902,493.93691408634186
255.0,695.0000026226044,500.63337248563766
255.0,750.000022649765,504.46957594156265
256.0,766.9999830126762,506.6354069709778
256.0,712.9999848604202,512.5909407734871
256.0,594.9999755620956,517.0704894065857
257.0,644.99998909235,516.2865105271339
257.0,719.0000132322311,519.0002677440643
257.0,710.9999925494194,526.6361531019211
257.0,601.9999743700027,527.3964186906815
258.0,601.9999743700027,533.6560587286949
258.0,719.9999836683273,540.2385801672935
258.0,766.9999830126762,538.244451880455
259.0,691.0000180006027,540.11363530159
259.0,644.0000186562538,538.636569917202
259.0,705.9999860525131,534.268797814846
260.0,830.0000237226486,532.1537368893623
